@relation iswinning-final

@attribute 'Play Prior' numeric
@attribute 'Bet Prior' numeric
@attribute 'Fold Prior' numeric
@attribute 'Average Number Of Players' numeric
@attribute 'Beginning Chip Count Vs Table Average' numeric
@attribute 'Is Winning' {0,1}

@data
0.33333,0.0495,0.20792,10,2.4601,0
0.6087,0.07921,0.19802,10,2.1905,1
0.3913,0.06,0.18,10,0.7911,1
0.45833,0.04762,0.20952,8.847619,1.103,0
0.26087,0.0495,0.21782,10,0.04,1
0.72727,0.03846,0.15385,10,0.9179,1
0.45455,0.04,0.19,10,0.2946,0
0.77273,0.04,0.16,10,0.0483,1
0.54167,0.11538,0.15385,9.586538,5.6747,0
0.59091,0.06931,0.17822,10,0.8183,1
0.25,0.04902,0.22549,10,0.9271,0
0.34783,0.04808,0.20192,10,0.3084,1
0.43478,0.04902,0.20588,10,0.7407,0
0.52174,0.04854,0.21359,10,0.4832,0
0.65217,0.06796,0.17476,9.825243,0.0536,1
0.65217,0.06796,0.19417,10,0.0279,0
0.52174,0.05825,0.21359,10,0.1748,1
0.85,0.03883,0.13592,10,2.1752,0
0.47826,0.04902,0.22549,10,0.6528,0
0.6087,0.16,0.15,10,5.1189,1
0.3913,0.07843,0.18627,10,0.7313,1
0.40909,0.03883,0.19417,10,0.068,0
0.59091,0.08,0.18,9.88,0.42,0
0.52381,0.05,0.18,9.83,0.0363,0
0.54545,0.04,0.19,9.87,0.0241,1
0.63636,0.03922,0.14706,9.921569,0.139,1
0.52174,0.03922,0.19608,9.754902,0.0104,0
0.54545,0.07,0.2,9.6,0.4002,1
0.5,0.0495,0.17822,9.683168,5.8316,1
0.54167,0.15686,0.16667,9.5,3.0599,1
0.45833,0.05825,0.17476,9.252427,0.0251,0
0.56522,0.06931,0.17822,8.455446,0.0205,1
0.54545,0.05825,0.18447,8.165049,0.0687,0
0.52174,0.0396,0.20792,7.811881,0.0313,1
0.7619,0.05825,0.17476,7.825243,0.0054,0
0.43478,0.05941,0.21782,7.772277,0.2571,0
0.43478,0.08,0.2,7.74,4.8328,0
0.59091,0.05825,0.14563,8.475728,1.3431,1
0.59091,0.06931,0.17822,6.772277,0.3856,0
0.73913,0.07692,0.17308,8.894231,0.0288,0
0.71429,0.04902,0.18627,9.039216,0.0138,1
0.6087,0.05882,0.16667,9.686275,0.2457,0
0.54545,0.03883,0.16505,9.31068,0.0145,1
0.52381,0.05941,0.17822,9.405941,6.5394,0
0.5,0.05882,0.20588,9.45098,0.3552,1
0.56522,0.03883,0.17476,9.805825,1.6784,1
0.30435,0.06,0.22,9.8,0.3869,0
0.63636,0.12745,0.16667,9.921569,0.2132,0
0.7619,0.05882,0.15686,9.921569,0.0157,1
0.45455,0.0495,0.17822,9.910891,0.0239,0
0.71429,0.04854,0.13592,9.941748,0.0115,0
0.29167,0.0396,0.19802,9.920792,0.2688,1
0.43478,0.05882,0.19608,10,0.0288,0
0.43478,0.05941,0.18812,10,0.452,1
0.33333,0.03883,0.19417,10,3.0355,1
0.30435,0.0495,0.20792,10,0.7434,1
0.69565,0.09709,0.15534,10,0.4786,1
0.6087,0.05769,0.17308,9.951923,0.0222,0
0.25,0.0495,0.22772,9.80198,0.0553,0
0.63636,0.04,0.21,10,0.036,0
0.68182,0.05825,0.13592,10,0.0307,0
0.43478,0.06731,0.22115,10,0.8435,0
0.25,0.03922,0.22549,10,0.0912,1
0.47826,0.04902,0.19608,10,1.2208,1
0.43478,0.06,0.21,10,5.5498,0
0.6087,0.06931,0.15842,10,0.7403,1
0.52174,0.0495,0.18812,10,0.0777,0
0.6087,0.0495,0.17822,10,0.0328,0
0.86364,0.1068,0.12621,8.339806,0.0827,1
0.43478,0.05882,0.20588,8.980392,2.1201,1
0.34783,0.06796,0.2233,10,0.0796,0
0.47826,0.05,0.19,10,1.001,0
0.5,0.04902,0.19608,10,0.3325,1
0.30435,0.04,0.23,10,0.0315,0
0.20833,0.04902,0.23529,10,4.6593,0
0.82609,0.12381,0.11429,10,0.6314,0
0.43478,0.06863,0.19608,10,0.0584,1
0.43478,0.07767,0.18447,10,0.1377,1
0.54545,0.0396,0.21782,10,3.1061,0
0.21739,0.0396,0.21782,10,0.1118,1
0.59091,0.05,0.2,10,0.8894,1
0.59091,0.05,0.17,10,0.7418,0
0.56522,0.05607,0.17757,10,0.1962,0
0.6087,0.04854,0.16505,9.650485,0.0095,0
0.30435,0.07,0.21,10,0.4855,0
0.5,0.0396,0.18812,10,0.0718,1
0.95652,0.14851,0.13861,10,0.7223,0
0.43478,0.07692,0.18269,10,0.1995,1
0.45455,0.07,0.22,10,4.125,0
0.63636,0.08,0.18,10,0.1517,1
0.29167,0.03883,0.21359,10,1.3699,0
0.47826,0.05882,0.21569,10,1.5414,1
0.33333,0.04808,0.22115,10,1.2237,1
0.65217,0.05941,0.18812,10,0.3036,1
0.45833,0.04854,0.20388,10,0.0811,1
0.34783,0.0396,0.18812,9.960396,0.8476,0
0.69565,0.05882,0.16667,9.941176,0.1549,1
0.30435,0.04,0.2,9.96,0.3615,0
0.3913,0.04902,0.20588,9.960784,0.269,0
0.40909,0.03922,0.19608,9.960784,2.5783,1
0.77273,0.03883,0.16505,10,0.0467,0
