hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
Qs,Jd,-,-,-,-,-,10,1,497,c
-,-,-,-,-,-,-,10,2,335,k
Qs,Jd,5c,Kh,Qc,-,-,10,1,191,k
-,-,5c,Kh,Qc,-,-,10,10,313,-
-,-,5c,Kh,Qc,-,-,10,2,129,k
-,-,5c,Kh,Qc,-,-,10,3,25,-
-,-,5c,Kh,Qc,-,-,10,4,1598,-
-,-,5c,Kh,Qc,-,-,10,5,132,-
-,-,5c,Kh,Qc,-,-,10,6,6656,-
-,-,5c,Kh,Qc,-,-,10,7,1624,k
Jh,Ks,5c,Kh,Qc,-,-,10,8,440,b
-,-,5c,Kh,Qc,-,-,10,9,432,-
Qs,Jd,5c,Kh,Qc,-,-,10,1,191,c
-,-,5c,Kh,Qc,-,-,10,2,129,f
-,-,5c,Kh,Qc,-,-,10,7,1624,f
Qs,Jd,5c,Kh,Qc,9s,-,10,1,67,k
-,-,5c,Kh,Qc,9s,-,10,10,110,-
-,-,5c,Kh,Qc,9s,-,10,2,45,-
-,-,5c,Kh,Qc,9s,-,10,3,8,-
-,-,5c,Kh,Qc,9s,-,10,4,561,-
-,-,5c,Kh,Qc,9s,-,10,5,46,-
-,-,5c,Kh,Qc,9s,-,10,6,2338,-
-,-,5c,Kh,Qc,9s,-,10,7,570,-
Jh,Ks,5c,Kh,Qc,9s,-,10,8,154,b
-,-,5c,Kh,Qc,9s,-,10,9,152,-
Qs,Jd,5c,Kh,Qc,9s,-,10,1,67,c
Qs,Jd,5c,Kh,Qc,9s,Th,10,1,22,b
-,-,5c,Kh,Qc,9s,Th,10,10,37,-
-,-,5c,Kh,Qc,9s,Th,10,2,15,-
-,-,5c,Kh,Qc,9s,Th,10,3,3,-
-,-,5c,Kh,Qc,9s,Th,10,4,190,-
-,-,5c,Kh,Qc,9s,Th,10,5,15,-
-,-,5c,Kh,Qc,9s,Th,10,6,793,-
-,-,5c,Kh,Qc,9s,Th,10,7,193,-
Jh,Ks,5c,Kh,Qc,9s,Th,10,8,52,c
-,-,5c,Kh,Qc,9s,Th,10,9,51,-
-,-,-,-,-,-,-,10,1,63,B
-,-,-,-,-,-,-,10,10,93,f
-,-,-,-,-,-,-,10,2,12,B
-,-,-,-,-,-,-,10,3,784,f
-,-,-,-,-,-,-,10,4,64,f
-,-,-,-,-,-,-,10,5,3265,f
-,-,-,-,-,-,-,10,6,796,f
-,-,-,-,-,-,-,10,7,216,r
-,-,-,-,-,-,-,10,8,212,f
-,-,-,-,-,-,-,10,9,153,r
-,-,-,-,-,-,-,10,1,63,f
-,-,-,-,-,-,-,10,2,12,f
-,-,-,-,-,-,-,10,7,216,c
-,-,5d,Kc,Kd,-,-,10,1,1678,-
-,-,5d,Kc,Kd,-,-,10,10,2489,-
-,-,5d,Kc,Kd,-,-,10,2,328,-
-,-,5d,Kc,Kd,-,-,10,3,20780,-
-,-,5d,Kc,Kd,-,-,10,4,1720,-
-,-,5d,Kc,Kd,-,-,10,5,86539,-
-,-,5d,Kc,Kd,-,-,10,6,21117,-
-,-,5d,Kc,Kd,-,-,10,7,5724,k
-,-,5d,Kc,Kd,-,-,10,8,5625,-
-,-,5d,Kc,Kd,-,-,10,9,4075,b
-,-,5d,Kc,Kd,-,-,10,7,5724,f
-,-,-,-,-,-,-,10,1,1678,-
-,-,-,-,-,-,-,10,10,2489,-
-,-,-,-,-,-,-,10,2,328,-
-,-,-,-,-,-,-,10,3,20780,-
-,-,-,-,-,-,-,10,4,1720,-
-,-,-,-,-,-,-,10,5,86539,-
-,-,-,-,-,-,-,10,6,21117,-
-,-,-,-,-,-,-,10,7,5724,-
-,-,-,-,-,-,-,10,8,5625,-
-,-,-,-,-,-,-,10,9,4075,-
-,-,-,-,-,-,-,10,1,32,-
-,-,-,-,-,-,-,10,10,47,-
-,-,-,-,-,-,-,10,2,6,-
-,-,-,-,-,-,-,10,3,399,-
-,-,-,-,-,-,-,10,4,33,-
-,-,-,-,-,-,-,10,5,1664,-
-,-,-,-,-,-,-,10,6,406,-
-,-,-,-,-,-,-,10,7,110,-
-,-,-,-,-,-,-,10,8,108,-
-,-,-,-,-,-,-,10,9,78,-
-,-,-,-,-,-,-,10,1,65,B
-,-,-,-,-,-,-,10,10,335,c
-,-,-,-,-,-,-,10,2,4156,B
-,-,-,-,-,-,-,10,3,344,f
-,-,-,-,-,-,-,10,4,17307,f
-,-,-,-,-,-,-,10,5,4223,f
-,-,-,-,-,-,-,10,6,1142,f
-,-,-,-,-,-,-,10,7,1125,f
-,-,-,-,-,-,-,10,8,817,f
-,-,-,-,-,-,-,10,9,497,c
-,-,-,-,-,-,-,10,1,65,c
-,-,-,-,-,-,-,10,2,4156,k
-,-,6d,3h,Kd,-,-,10,1,327,k
-,-,6d,3h,Kd,-,-,10,10,1677,b
-,-,6d,3h,Kd,-,-,10,2,20780,k
-,-,6d,3h,Kd,-,-,10,3,1720,-
-,-,6d,3h,Kd,-,-,10,4,86539,-
-,-,6d,3h,Kd,-,-,10,5,21117,-
-,-,6d,3h,Kd,-,-,10,6,5712,-
-,-,6d,3h,Kd,-,-,10,7,5625,-
-,-,6d,3h,Kd,-,-,10,8,4089,-
-,-,6d,3h,Kd,-,-,10,9,2489,k
-,-,6d,3h,Kd,-,-,10,1,327,f
-,-,6d,3h,Kd,-,-,10,2,20780,f
-,-,6d,3h,Kd,-,-,10,9,2489,f
-,-,-,-,-,-,-,10,1,327,-
-,-,-,-,-,-,-,10,10,1677,-
-,-,-,-,-,-,-,10,2,20780,-
-,-,-,-,-,-,-,10,3,1720,-
-,-,-,-,-,-,-,10,4,86539,-
-,-,-,-,-,-,-,10,5,21117,-
-,-,-,-,-,-,-,10,6,5712,-
-,-,-,-,-,-,-,10,7,5625,-
-,-,-,-,-,-,-,10,8,4089,-
-,-,-,-,-,-,-,10,9,2489,-
-,-,-,-,-,-,-,10,1,36,-
-,-,-,-,-,-,-,10,10,186,-
-,-,-,-,-,-,-,10,2,2308,-
-,-,-,-,-,-,-,10,3,191,-
-,-,-,-,-,-,-,10,4,9615,-
-,-,-,-,-,-,-,10,5,2346,-
-,-,-,-,-,-,-,10,6,634,-
-,-,-,-,-,-,-,10,7,625,-
-,-,-,-,-,-,-,10,8,454,-
-,-,-,-,-,-,-,10,9,276,-
-,-,-,-,-,-,-,10,1,5194,B
-,-,-,-,-,-,-,10,10,81,f
-,-,-,-,-,-,-,10,2,430,B
-,-,-,-,-,-,-,10,3,21634,f
-,-,-,-,-,-,-,10,4,5279,f
-,-,-,-,-,-,-,10,5,1428,f
-,-,-,-,-,-,-,10,6,1406,f
-,-,-,-,-,-,-,10,7,1022,f
-,-,-,-,-,-,-,10,8,622,c
-,-,-,-,-,-,-,10,9,420,f
-,-,-,-,-,-,-,10,1,5194,c
-,-,-,-,-,-,-,10,2,430,k
-,-,3h,4s,Jd,-,-,10,1,5194,k
-,-,3h,4s,Jd,-,-,10,10,81,-
-,-,3h,4s,Jd,-,-,10,2,430,k
-,-,3h,4s,Jd,-,-,10,3,21634,Q
-,-,3h,4s,Jd,-,-,10,4,5279,-
-,-,3h,4s,Jd,-,-,10,5,1428,-
-,-,3h,4s,Jd,-,-,10,6,1406,-
-,-,3h,4s,Jd,-,-,10,7,1022,-
-,-,3h,4s,Jd,-,-,10,8,622,k
-,-,3h,4s,Jd,-,-,10,9,420,-
-,-,3h,4s,Jd,Td,-,10,1,20779,b
-,-,3h,4s,Jd,Td,-,10,10,326,-
-,-,3h,4s,Jd,Td,-,10,2,1720,f
-,-,3h,4s,Jd,Td,-,10,3,86539,-
-,-,3h,4s,Jd,Td,-,10,4,21117,-
-,-,3h,4s,Jd,Td,-,10,5,5712,-
-,-,3h,4s,Jd,Td,-,10,6,5625,-
-,-,3h,4s,Jd,Td,-,10,7,4089,-
-,-,3h,4s,Jd,Td,-,10,8,2488,f
-,-,3h,4s,Jd,Td,-,10,9,1680,-
-,-,-,-,-,-,-,10,1,2968,-
-,-,-,-,-,-,-,10,10,46,-
-,-,-,-,-,-,-,10,2,245,-
-,-,-,-,-,-,-,10,3,12362,-
-,-,-,-,-,-,-,10,4,3016,-
-,-,-,-,-,-,-,10,5,816,-
-,-,-,-,-,-,-,10,6,803,-
-,-,-,-,-,-,-,10,7,584,-
-,-,-,-,-,-,-,10,8,355,-
-,-,-,-,-,-,-,10,9,240,-
-,-,-,-,-,-,-,9,1,1719,B
-,-,-,-,-,-,-,9,2,21117,B
-,-,-,-,-,-,-,9,3,4089,Q
-,-,-,-,-,-,-,9,4,5712,f
-,-,-,-,-,-,-,9,5,5625,f
-,-,-,-,-,-,-,9,6,2487,f
-,-,-,-,-,-,-,9,7,1680,r
-,-,-,-,-,-,-,9,8,326,f
-,-,-,-,-,-,-,9,9,20781,f
-,-,-,-,-,-,-,9,1,1719,f
-,-,-,-,-,-,-,9,2,21117,f
-,-,-,-,-,-,-,9,1,1719,-
-,-,-,-,-,-,-,9,2,21117,-
-,-,-,-,-,-,-,9,3,4089,-
-,-,-,-,-,-,-,9,4,5712,-
-,-,-,-,-,-,-,9,5,5625,-
-,-,-,-,-,-,-,9,6,2487,-
-,-,-,-,-,-,-,9,7,1680,-
